,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
3459,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff,playboywhoa,playboy,plata,plate,plateadas,plateau,plated,platedand,platei,plates,platetime,platform,platforms,platinum,platinumi,platinumtriple,platoon,platted,platter,plause
3460,smoke,want,the,all,we,cartier,in,nigga,my,yeah,on,it,bitch,mil,up,ayy,got,ears,racks,lift,turning,gone,dog,out,swats,smokewe,slattstackin,ayywe,poms,deers,budweiser,oppswe,moly,smokeyeah,putang,celtics,pom,smokethis,kyrie,you,superior,fund,toting,slatt,windmill,off,imperial,factories,and,wiped
3461,lil,bitch,dusty,get,rollin,racks,the,swallowin,rolex,money,loud,gotta,she,unfair,shit,trust,glock,aroma,drum,bound,lookin,commas,air,suckin,demon,em,go,us,lot,dick,hundred,then,that,wanna,swear,crew,he,and,up,round,wavy,at,potent,you,right,count,nigga,hit,play,it
3462,invented,blacktop,wanna,wheel,the,who,steel,pain,caused,rock,heartache,knowi,car,know,took,was,him,awaysomebody,wheelsomebody,that,blame,made,and,wheeli,he,since,for,discovered,didn,someone,this,name,feeling,highway,laid,had,give,away,me,tell,it,need,been,to,all,spend,cause,ve,time,road
3463,the,river,wash,orleans,sun,marching,run,new,direction,sat,and,in,of,york,country,queen,down,just,genuflect,refrainoh,sistineshe,absinthe,indeciperable,clifton,boundcover,escalating,awayme,betweenwhen,changecover,diplomats,soundcover,communist,resurrector,armstrong,awaypeople,eastward,wall,to,make,timehe,colorado,upright,scroll,let,they,water,said,mardi,pedro,louisiana
3467,damn,near,here,wish,you,let,were,go,it,have,heredamn,everywherebut,do,crazy,wanna,those,always,re,to,what,things,riding,everywhere,right,damnwhat,isand,allthere,hereall,there,just,now,through,went,knowthat,didn,itand,left,did,goi,head,them,gives,said,tough,who,about,think,with,we,don
3468,king,city,driving,wild,wildking,gotta,re,you,cityyou,specialbut,thereto,bright,middle,really,tight,goodbye,corvette,lights,damn,me,demon,speeding,hold,get,dressed,the,chasing,night,special,lady,woman,say,word,low,of,lay,there,red,see,matter,room,found,we,so,light,better,on,that,gonna,more
3469,new,brand,her,got,backwoods,yeah,bouta,supplies,dash,she,on,the,watch,roll,gas,fuck,my,door,talkin,motherfuckin,go,chick,nephew,dae,nigga,high,bad,igh,and,to,stars,money,fives,icky,that,shawty,get,umm,ain,call,slut,guy,cash,thugger,bitch,with,take,car,thug,og
3470,said,you,was,felt,the,plane,and,when,boarding,we,kiss,took,knew,television,hadn,that,lap,cigarettes,in,nearly,tour,it,couch,even,on,kissed,stopped,cried,laid,watched,would,grass,park,up,anybody,pack,band,crowd,later,yesterday,then,through,with,ran,so,everywhere,right,spent,somewhere,yet
3472,trippin,songyo,realyo,sing,nothing,why,wrong,ain,there,songwhoa,my,feel,feelings,way,yo,with,you,honesty,stay,the,without,me,live,yeahhonesty,heyaall,babyyo,songbaby,songhey,whoayo,whoa,yeahyo,to,make,yeha,whoayou,fightif,like,integrity,so,mehey,thatyou,free,compromise,refuse,left,be,rhyme,cruel,always,rhythm
3474,brother,big,was,begin,the,mentor,story,my,dame,and,who,hip,yell,hop,he,brotherused,coldplay,at,told,let,blueprint,no,more,idol,out,jigga,you,be,but,to,only,jay,of,kicked,should,that,thats,friend,me,back,guess,beats,wave,like,get,least,now,number,did,cribthen
3475,perching,greeted,flakey,bonnets,shouldered,vapour,strangely,ambivalence,pavements,welcomed,doves,decorate,hotels,amber,avenues,flickering,trails,parallel,upper,peaceful,shiny,deck,began,hearing,strangers,fallen,seemed,fading,ourselves,seeing,by,golden,then,trees,leaves,shining,dreaming,green,thoughts,watching,future,beautiful,the,between,from,moment,red,car,white,saw
3479,him,he,fickle,you,single,found,foolish,girl,little,dreaming,love,thing,wanted,didn,another,do,and,want,her,there,not,somebody,late,it,that,his,new,smart,can,wedding,again,of,dirt,pride,when,quiet,still,too,heart,belong,back,tomorrow,broke,hurt,blue,since,forget,if,cry,change
3480,remember,were,the,tight,each,moment,you,years,together,time,here,and,hold,when,morning,canyon,through,dreamers,crosses,will,came,chills,to,december,candle,tide,long,hangin,on,walkin,midnight,waves,stood,night,beside,ocean,we,memories,singing,burning,star,rain,sometimes,bring,me,in,cold,found,sky,trying
3481,oh,harder,lows,highs,we,oooo,chose,path,mistakes,well,will,the,fall,whatever,there,same,try,gotta,run,be,buckle,our,live,enjoy,cant,you,take,from,your,never,life,funny,tryhave,hadrer,tryain,how,again,soso,to,fightso,different,focusing,just,and,againso,true,hands,up,inside,really
3482,carry,me,why,question,ones,don,can,existence,save,x4,you,hardest,crazy,meaning,move,the,on,live,am,most,my,life,horns,own,without,halo,bridges,sacred,praying,laying,cards,table,that,strength,away,need,lead,to,burn,takes,are,from,alright,running,fight,love,it,looking,light,gotta
3484,second,time,friendly,love,comfortable,led,miracle,glad,the,lovelier,yet,bet,met,around,who,you,comes,once,perhaps,found,those,sung,fall,we,call,home,wonderful,youth,us,wasted,more,like,are,ground,oh,both,there,ve,feet,makes,ask,song,young,this,what,so,is,hear,but,on
3486,nothin,but,love,ain,shout,got,to,been,ones,crush,lovefor,for,out,haters,downthere,hold,even,my,me,who,thing,that,the,since,tried,round,on,trying,done,going,anyone,givers,metfor,tohad,try,takers,take,violated,praised,lovethere,them,why,world,youto,blaming,you,exes,now,all,sticking
3487,payphone,you,it,all,plans,where,tales,fairy,spent,sicknow,call,the,exist,paradisei,of,to,shit,wasted,are,times,at,my,be,trying,paralyzed,change,two,wrong,bridges,turned,still,have,sets,gone,holding,fucking,happy,downi,made,home,full,expect,after,burned,we,song,love,but,did,baby
3488,runaway,find,cool,searching,love,giving,trying,low,oh,my,up,until,high,yeah,stop,she,where,be,expect,running,us,of,won,give,enough,never,not,to,needs,it,coolwhat,loverunning,time,sweet,ll,enoughi,out,mine,baby,minei,that,just,know,is,for,herself,fore,all,company,and
3489,pain,fuck,away,the,iud,huh,teaches,peaches,beaches,chrissy,uhh,blondie,sis,what,sex,titties,school,like,right,else,sucking,calling,check,stay,time,fine,wanted,behind,best,in,on,of,awayhuh,uhhfuck,uhhhuh,bestsucking,uhhsis,all,it,cause,my,me,out,is,you,playhonest,playif,playin,playing,playingpush
3490,being,my,the,sunfly,prompter,descension,cupped,scowl,monk,discarding,vulgar,sinful,strokes,atonement,nude,of,whisperin,loner,tethered,margins,contained,shedding,blindly,possession,fry,through,in,potent,stumbling,solitude,quietly,folded,member,choking,rate,define,how,sort,quickly,background,to,allow,at,bold,dripping,hidden,forgiveness,seek,stairs,racing
3491,idea,bad,pretty,it,toheart,racing,already,let,worse,make,mistakes,me,husband,stop,um,and,this,what,doctor,you,good,wife,was,need,oneheart,thing,wasn,just,ve,making,anything,running,though,coming,will,terrible,myself,youit,face,hold,kissing,got,mind,ever,us,youyou,dumb,poor,more,keep
3492,it,like,shut,friends,what,they,wish,my,damn,seem,apologizing,all,doing,that,fine,to,fix,exes,simple,don,off,hand,through,ah,and,something,understand,mind,sleep,can,admit,the,think,know,deal,thoughts,take,most,put,these,always,was,with,why,overthink,time,alright,ike,night,anxiety
3493,change,baby,don,thing,you,no,grateful,magazine,models,grown,angels,oh,angel,scream,facesweet,thingfirst,woman,nobaby,yousweet,flirt,saw,healed,knew,need,maybe,thought,photograph,model,better,than,got,page,man,good,conversation,around,look,the,that,stage,more,wings,died,cover,corner,know,shoes,wear,talkin,to
3495,thought,feel,how,tell,mistaken,me,grows,cold,vocations,does,completion,misfortune,today,do,harbor,heard,obey,you,told,heavenly,should,your,shall,now,and,ship,to,person,laid,lived,beach,who,when,quite,it,treat,walked,upon,speak,say,was,wasn,past,ll,stand,sure,waiting,until,words,those
3496,eye,berlin,the,wall,knockin,or,quarter,round,of,fresh,in,least,ten,pretend,interrupts,paradoxical,berlinwhere,wallshe,sheba,copyright,monumental,mugger,met,superstitious,merely,aroundshe,rituals,gets,hologram,german,down,document,b4,according,alien,unexpected,clover,parallel,galaxy,delight,struck,marks,come,leaf,we,design,am,lightning,writing,universe
3497,yesterday,dreamnothin,comin,tomorrow,was,seems,and,it,here,sfrom,gonewords,makesdon,screamrain,gonetell,long,serene,what,ever,unforgiving,just,won,is,pane,tumble,dream,hurtin,beatin,curtain,gone,an,whisper,world,lock,the,book,more,turning,be,window,empty,tired,lies,wonder,lonely,ma,sound,smile,makes,living,open
3498,filled,she,common,the,strangers,ok,billsnobody,billsshe,downtownbut,willbut,streets,pay,notices,cartoon,cue,else,hides,advantage,movies,cries,thing,lazy,ill,promises,pills,good,rings,anyway,special,with,lives,eye,takes,are,of,ground,cause,part,taking,somebody,town,makes,nobody,until,used,hit,done,and,live,for
3499,we,road,friend,bend,ran,stay,the,why,stations,forever,wandered,signal,end,conversations,gone,roads,is,ve,long,north,highway,dirt,radio,away,hour,dry,so,don,walked,send,stuck,and,way,water,my,late,got,in,friends,no,this,old,bad,place,lost,but,an,eyes,ain,here
3500,you,hide,yourself,better,away,core,shift,the,can,breaks,trying,deny,loves,to,brother,son,trust,know,until,interlude,mine,preach,say,stolen,things,all,x2,and,decide,man,won,who,it,against,reach,way,one,not,anything,ll,their,own,what,light,thing,try,hold,mind,little,on
3503,mohawk,skinheads,allowed,aren,skinhead,rolled,cowboy,town,he,hat,john,his,pulled,everyone,knows,townhe,marshal,saloon,into,and,knew,sent,cause,down,skinhe,townmohawk,farhe,mohawks,backhe,townthe,in,slug,ordered,him,checked,himself,the,was,drawn,laid,sittin,stood,killed,guns,bar,some,quick,men,dry,walked
3504,joining,dots,the,bows,bruise,kicked,shoes,dotsi,dotsthought,outsidefrom,gullible,squabbling,smoke,hair,colourful,blood,youfrom,wool,in,moth,and,to,afternoon,your,season,off,hurry,you,calm,flame,up,prove,yesterday,darling,sleeping,point,shake,for,have,word,reason,soon,they,talking,rain,behind,tried,pull,ll,heard
3505,fly,angels,pastries,to,outside,motherland,grams,crumbling,daydream,18,pipe,upperhand,she,sinking,in,wasting,her,class,team,worst,lately,slowly,sells,scream,stuck,the,tonight,couple,mad,flies,they,face,and,for,seems,go,since,under,cold,free,another,life,dry,things,us,man,we,white,snowflakes,raincoat
3506,pants,change,never,my,your,don,pantsi,gonna,wanna,you,not,chnage,pantsgot,pantsall,pantsit,pantsthese,pantsthrow,pantswalkin,pantsbaby,individuality,pantsyou,yeahcome,x16,etc,gamblin,todayi,symbol,fitting,alrighti,belief,tonight,trusted,mc,em,sucker,represent,monkey,personal,wore,fail,again,saturday,fools,ll,freedom,brown,shirt,grab,wave,week
3507,meh,way,you,pump,work,like,the,baby,it,move,mah,do,till,feelin,incredible,drop,for,listen,girl,if,to,chase,or,ha,hurts,ball,cash,shortie,gold,nursery,chu,curiosity,cows,sushi,get,got,ll,line,next,cuddle,sendin,dealin,maybe,mine,crimes,ya,doll,jones,come,pearls
3508,gotta,shake,party,move,it,strong,going,music,baby,make,get,this,on,musicget,the,to,awayget,oh,you,sound,troubles,away,escape,state,flow,peace,musicshake,moveget,strongget,musicgotta,musiccan,seem,ahold,once,will,and,yeah,place,take,another,just,inside,let,groove,ll,find,mind,deny,up,where
3509,lonely,two,people,more,aching,don,you,tonight,gave,fight,there,break,well,it,if,and,world,have,the,who,or,your,change,wrong,to,baby,sympathywe,absolutley,love,are,mind,tonightbaby,tonightwe,be,anyhow,then,heart,predictable,right,up,yeah,want,just,we,is,in,heartbeat,enemies,something,rough
3511,ll,you,beeverything,do,elevation,dedication,peak,eternity,highest,vacation,for,it,order,yea,prove,build,doubt,wall,between,never,may,time,til,work,stand,friends,true,break,show,inside,doi,all,an,on,us,every,gonna,who,heart,through,where,here,right,come,want,take,oh,now,this,up
3512,pa,pum,rum,champion,pumwalk,like,talk,bidi,sexy,coz,sexywalk,bum,ya,em,walk,championstand,pumeeh,timeit,bee,shine,felt,that,got,show,somethin,know,pumwe,pumtonight,bright,you,nothin,up,throw,let,yourself,fight,else,sky,baby,live,so,the,whoo,never,dancin,gotta,it,hold,and,sweat
3514,understand,unaware,never,even,meaning,you,is,unawarethere,cluewhat,phonewhat,consumes,all,care,what,so,me,stay,am,see,it,do,now,or,awake,life,answer,can,breathe,of,that,dark,love,just,alone,don,light,head,always,my,and,have,the,at,cause,get,out,but,on,to,playnow
3515,he,lord,black,near,peace,prayed,empty,ve,long,bring,cried,far,the,came,looked,sign,send,knowscause,gentil,fanciulla,and,heartmy,nights,splendor,lovecause,said,mehe,bathed,my,is,depth,heartso,bearing,phoenix,days,to,lasts,me,glory,flames,love,sunshine,dressed,joy,sent,day,some,heart,riding,with
3517,hmm,tryna,god,stop,be,hm,ooh,you,woah,the,oh,not,commandments,controls,yeah,it,job,almighty,landing,signal,always,that,create,air,can,hustle,fancy,your,traffic,of,her,never,ahead,did,kitehmm,mehmm,hearthmm,rewatch,godis,yeahhmm,godstop,fritters,godride,comin,tight,step,are,secrecy,plaque,peelin
3519,poorboys,willy,nickel,tap,corner,playing,bring,the,street,feetdown,on,are,out,your,and,feet,kalamazoo,twangs,blinky,harpdown,boydown,feettap,kazoodown,thumps,feetwilly,feetrooster,courthouse,poorboy,washboard,in,solos,doubles,picks,supper,gut,unwind,people,penny,bass,blows,tune,hits,noise,rhythm,over,starting,to,early,evening,around
3520,supposed,you,how,still,such,did,lazy,anger,and,without,live,am,in,word,world,to,absent,fitting,goand,signals,owned,gonei,come,wrong,are,gone,shelf,the,note,drifting,hall,not,packed,were,buried,love,counting,path,said,dust,listening,secrets,working,simple,dreaming,sleeping,be,anyone,leaving,have
3521,river,rocks,and,where,something,jump,missing,know,speak,skin,already,ve,listen,want,the,lost,been,totaking,seamrunning,hear,feel,am,into,machinery,beenoh,gold,beeni,scenery,is,to,avenues,on,minei,my,closing,never,goi,although,everything,reaching,good,as,ghost,places,it,middle,but,you,beautiful,holding
3522,makeup,magic,am,who,the,off,real,be,paralyzes,loath,bestmy,thingmy,want,chameleon,authentic,demonstrate,disposition,different,phases,my,dimension,attract,camouflage,depending,but,personality,if,attraction,counterfeit,bore,interest,faking,courage,make,health,comfortable,me,in,thing,one,can,nature,exist,all,changes,colors,to,you,up,attention
3523,wire,walking,below,we,comes,look,the,re,take,wireso,comesfeel,down,herewe,out,higher,what,ll,love,rush,upbut,belowoh,wirethere,roars,wind,hair,tears,gonna,you,lovewe,took,leap,feel,raging,walk,thunder,course,price,or,up,when,away,storm,could,be,fade,against,and,step,way,nights
3524,flicker,erase,flickerone,darkyeah,the,light,little,dark,probably,you,of,one,tryna,already,can,were,wrote,was,da,siddiq,outlined,and,presented,in,bulbs,nosed,realistic,songwriter,snot,poked,penetrates,ridicule,with,hesitant,that,know,sinkin,awareness,info,concept,trials,collection,then,resentment,exhausted,clowns,limited,frustrated,it,ave
3525,suffer,won,bitter,man,you,down,another,ll,the,lover,reach,flutters,candid,find,we,lights,friend,vanished,your,days,remember,planets,reminisce,end,want,my,gutter,turn,be,thrill,motion,were,these,to,beyond,guns,plans,when,heart,nah,wanna,don,will,stuck,leaving,summer,speak,are,kill,arms
3528,bells,ring,them,the,and,st,for,is,sanctuaries,martha,lilies,heathen,from,catherine,plow,willows,shepherd,valleys,cow,fortress,streams,deaf,will,bride,peter,that,sheep,bloom,iron,weep,flies,are,sacred,winds,oh,innocence,they,chosen,cries,backwards,dies,ye,mountains,judge,world,wheel,poor,re,who,rush
3529,aquarius,numb,comeaquarius,grind,mind,aligned,low,age,the,aquariusthe,lightslights,eraaquarius,starsstars,aquariusi,blind,changein,slow,simmer,getting,melting,media,woods,government,hard,new,angry,down,hardest,time,hold,begun,stress,welcome,world,dawn,midnight,won,brand,somehow,darkness,become,right,come,hoes,step,finally,your,make,okay,of
3530,about,you,something,oh,me,move,lays,silhouette,the,way,thought,ready,it,shape,of,driving,feeling,differentthe,your,mesomething,with,soon,dance,when,light,face,call,really,starting,youyou,look,luck,up,secrets,as,share,youi,yeah,afraid,on,at,different,time,got,running,help,love,mean,talk,hit
3535,say,never,have,you,single,goodbyewe,every,to,afterlife,goodbye,day,we,me,deeper,goodbyei,was,youwe,giving,call,its,on,true,showed,re,didn,cause,needed,the,if,inside,feel,everything,even,up,when,would,awaywe,look,so,that,running,can,then,wanna,coming,fooling,walk,way,take,make
3537,you,the,wakes,ship,slide,wine,bottle,built,bacteria,microfiche,oldsomeone,againt,column,dreamsomeones,grow,microscope,eyedon,safei,churning,intangible,in,surgeon,lifedon,fixes,breeds,worm,newspaper,stirring,wanna,knew,print,that,digging,have,apple,shower,cuts,impossible,worked,eating,adore,your,if,raised,of,weather,who,color,what,mistakes
3540,tougher,mighty,hurricane,than,stronger,anybody,stone,together,power,known,nothin,anything,stand,re,one,ve,as,the,could,you,ever,us,there,we,look,only,ain,rumors,what,to,that,at,know,me,can,see,spark,burns,mystery,certain,souls,our,good,flying,stranger,flame,up,searching,don,how
3541,na,hello,nah,silent,trees,where,want,happen,hellona,hellohello,cowardlyi,feel,death,cowardly,to,breath,speak,nai,standing,stand,in,you,the,know,can,am,thats,why,won,say,see,be,your,my,and,that,playful,platei,playfulness,playit,playingthere,playground,playgrounds,playif,plates,platform,playingrococo,playingpush,playhonest,playing
3544,birds,quiet,place,hide,explain,these,come,to,need,the,don,sky,words,die,look,question,answer,fall,inside,hidehow,cupful,hidethese,hidesthere,darkand,hatful,glassand,pencils,belonghow,things,sliver,always,from,of,like,perched,guru,joker,prophet,youhow,reflections,can,truths,skull,quarters,consequences,feel,what,how,independent,feather
3546,yeah,sunday,driving,needin,slow,may,morning,bones,darkness,rest,someday,and,lead,shrouding,fallingsteal,outlinepaint,all,would,unforgettable,she,gladly,your,branches,knowthat,sway,mold,come,back,with,to,that,covers,is,trace,me,oh,in,flower,leave,twist,see,forth,moments,weather,some,storm,ends,fingers,fit,clouds
3547,fourth,july,felt,babychorus,truly,the,starry,trembling,mine,hand,and,eyed,put,showeringchorus,fervid,julyso,threateningly,dandelions,tentatively,ominously,amid,delicately,strewn,entwined,intensity,floated,hillside,seperate,crescent,soaring,we,hovering,sparkling,wanted,roman,you,fireflies,intimate,then,went,as,wandered,sky,breathless,daze,of,twilight,pressed,swept,candles
3548,lights,miss,go,illuminates,baby,doubts,down,me,lighti,harder,tight,let,pull,ooh,you,don,the,hold,give,my,downi,it,bring,out,when,your,of,lightooh,tonebaby,all,in,lightwe,brushing,makes,body,delicate,mebaby,oceans,want,setting,gravity,ego,babyi,unknown,worlds,towards,groove,into,cruel,moves
3549,say,what,wanna,you,this,so,shame,proof,not,wire,numb,done,roof,before,like,on,face,to,ve,set,gotta,living,want,fire,won,now,my,give,chords,bothered,no,that,pardon,pump,funk,cheek,wrongs,flashing,is,picking,strings,tune,zone,beats,bone,hours,drunk,me,songs,tongue
3550,barcelona,barcelonaevery,shut,lying,side,by,you,know,right,knowevery,barcelonaa,have,eyes,time,go,ll,europe,native,to,my,sung,ache,gather,be,in,sang,leather,boots,your,foreign,still,tongue,and,once,song,hold,long,mind,man,her,he,more,from,of,that,the,platter,platted,playground,playgrounds
3551,ain,fortunate,no,me,it,son,lord,folks,they,iain,rummage,senator,yoh,taxman,spangled,born,one,inherit,more,some,the,military,cannon,yeh,chief,ooh,spoon,hail,millionaire,sale,oh,themselves,flag,plays,silver,when,band,wave,answer,point,send,to,war,star,are,red,blue,white,house,yes
3552,free,body,ego,sex,forever,you,lovin,armor,sexy,your,tell,knight,moving,and,want,say,verse,this,me,can,when,what,tonight,faces,place,places,going,is,andego,feel,hold,playing,the,chorus,heri,enlighten,wantyou,be,to,for,then,blinking,side,pin,back,opinion,tonighti,footsteps,my,losin
3553,nigga,aim,godzilla,up,em,changin,girl,skrt,you,wanna,it,passcode,apeshit,act,ll,wheelin,bitch,at,perky,your,brazy,know,ap,ape,me,back,shit,bae,killer,go,got,stack,bear,just,and,yeah,daughter,care,bands,bust,sex,devil,on,will,out,pillthis,syringin,gangcatch,sangin,thoughbentley
3555,oh,wanna,ah,thursday,feel,beautiful,insecure,makeup,don,wear,inside,succumb,just,sometimes,slightly,unlike,laugh,change,my,dance,tears,wake,sing,so,cry,taught,hands,anyone,sloe,stay,again,and,these,on,always,tired,sweatpants,eyes,independence,won,covering,many,love,insecurities,could,gin,enough,up,anxious,myself
3556,woah,coming,keep,struck,what,for,match,on,know,blowing,it,patched,wind,today,you,light,shall,path,walked,waste,taste,knows,who,in,have,the,not,up,just,we,so,to,playhell,playeri,playerno,playero,playerplaya,players,playersee,playhonest,pleaseoh,pleaseit,playin,playif,playfulness,playground,playgrounds,playing,playful,pleasecan
3557,why,oh,you,me,not,love,meant,be,know,shattered,tell,baby,trapped,were,greatest,how,we,knew,my,closed,woke,told,could,need,much,story,to,are,ever,between,floor,being,only,dreams,wanna,soul,escaping,far,true,fall,the,alone,never,go,all,drowning,ll,if,and,eyes
3558,oh,over,pleaseit,nooooo,centre,friend,no,old,it,overit,decline,yeahyou,go,crown,you,won,bottom,sign,follow,there,until,free,please,tonight,to,another,the,stay,your,on,of,said,day,say,down,ll,re,can,that,me,playboywell,plausible,playing,plause,playingpush,platter,playingrococo,playingthere,playit,platted
3560,sundown,wait,bounce,till,wanna,don,the,on,until,midnight,get,now,cause,morning,lie,girl,so,no,wrong,gone,can,mind,love,beating,honest,we,baby,middle,feelin,me,in,seems,time,911,you,far,ya,yeah,alarm,turnin,see,long,my,day,keep,night,away,heart,it,right
3561,the,glowing,boys,downtown,all,ll,dark,fire,took,we,luminous,smithereens,occurs,scarecrow,girls,car,bursting,lights,be,saw,cartoon,heart,in,smashed,offered,soar,lows,wired,highs,riot,run,concrete,light,they,madness,spark,matters,stole,spinning,rose,flame,key,scene,wild,bright,front,standing,meet,down,red
3562,na,baby,stay,you,love,we,hangin,over,goneit,with,each,killing,can,really,try,know,kept,telling,do,ain,front,in,let,matter,nothing,on,me,and,our,keep,down,myself,to,it,inside,oninside,that,but,well,youna,itmake,what,like,cause,said,around,unconditional,nana,highly,now
3564,shake,dicks,tits,fatherfuckers,motherfuckers,your,ready,are,the,for,you,peaches,girls,and,flip,no,dicksi,titsboys,tastei,tooshake,sickyou,pingshake,endsshake,dicksok,staking,all,boys,safer,it,their,swinging,make,panties,thrill,gimme,swing,ladies,guys,box,that,keep,women,quick,then,like,with,bottom,men,kick,lying
3565,shit,that,you,like,rap,the,to,ain,it,of,well,get,thanks,dave,right,uh,this,do,be,and,different,type,just,hook,can,dogg,snoop,up,don,nah,job,but,wanna,what,had,traditionally,undergrad,juanita,thing,yeah,whatever,topanga,your,me,nigga,my,myself,man,let,been
3566,rank,rybody,ev,stranger,met,knew,not,strangers,seemed,dad,faces,well,to,mother,beautiful,they,friend,wandered,could,their,name,crystal,home,youth,moved,early,mountain,dawn,my,no,some,or,where,me,looked,be,bright,sea,voice,heaven,happy,meet,was,see,in,found,friends,free,and,em
3568,writing,mmm,letter,dear,john,you,negligence,mailing,youchorus,it,some,can,because,days,frustrated,this,2x,know,makes,with,and,no,don,johnsometimes,my,should,better,minuteyou,mmmi,7x,touchy,to,check,mailman,oh,betteri,gonna,go,contemplating,forget,through,in,obey,fireplace,alrighti,ini,feel,enough,myself,speaks
3570,brave,she,girl,tonighttonight,uncover,tonight,her,gonna,behave,alright,wants,tonightshe,lands,knew,changed,good,step,outside,don,rewind,alive,really,find,he,seat,said,who,needs,could,it,meanshe,aliveshe,new,comin,feel,want,tonightso,eyes,both,feet,ride,to,ain,peaches,wanna,tee,on,meshe,no,whatcha
3571,tells,ever,you,one,hurts,live,rightno,goodbyeand,no,teardrops,how,begins,when,looks,bright,future,and,learn,to,burn,cry,love,pain,it,bout,start,someone,break,the,turn,can,things,girl,little,always,that,heart,make,have,out,re,just,so,don,your,playlook,playgrounds,playhell,playing,playhonest
3572,everybody,sowe,we,gone,lack,paradise,re,wonder,stars,in,sky,so,libidoand,everybodyfresh,everybodyand,dorado,misled,penned,dead,hawaii,where,dreams,watch,casino,meat,are,the,condo,meand,palm,drinks,your,wash,beach,pack,el,hood,nowhere,way,rich,drop,set,next,black,whole,free,and,inside,hard,new
3574,advertising,koke,freeze,the,adds,advice,says,corridors,treat,nice,isn,party,suit,any,windows,from,life,freezekoka,freezeit,indecisioni,51st,kokaine,pinballs,kola,refreshes,spatter,ayaiiiiirrrghhh,launderette,clinical,snakeskin,girl,leaping,gleaming,man,precision,eyeballs,world,floor,snub,vet,executive,strolling,top,snort,manhattan,44,where,in,alligator,berlin
3575,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff,playboywhoa,playboy,plata,plate,plateadas,plateau,plated,platedand,platei,plates,platetime,platform,platforms,platinum,platinumi,platinumtriple,platoon,platted,platter,plause
3576,suppose,heels,field,heaven,shows,played,found,lost,knows,around,have,you,head,something,wonderful,baby,over,every,about,there,ve,get,youmark,abovechorus,forchorus,lostchorus,knowsshane,godsend,re,when,shane,daze,but,surrender,dare,more,angel,in,dreaming,it,known,ways,and,swear,holding,that,forever,waiting,what,came
3577,belong,against,wall,you,me,lied,to,tell,tomorrow,long,strong,gone,anything,goneyou,be,done,myself,hard,don,look,no,still,think,with,chooseno,whoaany,longno,fumestelling,back,pass,smoky,ve,time,that,and,ll,crutch,disgrace,stand,the,tomb,it,this,what,my,rooms,have,proof,harm,hardly
3578,happy,together,till,close,end,feeling,re,you,we,baby,now,to,time,of,shouldn,wings,feelings,me,the,wish,those,symphony,thought,let,add,hear,sorrow,would,beating,that,style,angel,devil,least,fool,goodbye,heaven,was,cause,ve,knows,my,hurt,forget,waiting,pain,no,trying,enough,without
3579,far,free,please,goneset,oh,arms,set,living,too,me,tell,ooh,gone,eh,ain,don,go,if,can,your,on,in,yeah,playif,playfulness,playmate,playground,playmakers,playlook,playgrounds,playlist,playful,playlet,playingthere,playingrococo,playhell,playingpush,playing,playhonest,playin,playit,00,playeri,players,platform,platforms,platinum,platinumi,platinumtriple,platoon
3584,tinsel,town,whatever,trying,all,you,things,always,be,the,rest,in,beat,to,long,best,careful,found,are,re,they,need,for,lunches,can,therapy,behavior,savior,borrow,your,mind,and,around,strange,only,don,deal,come,want,follow,fun,check,pay,till,everybody,friends,free,done,with,people
3585,deeper,go,we,ll,waters,still,the,deepest,oh,where,to,you,starssomeone,askoh,hidecome,liewhoa,timeonce,over,they,wonder,ve,and,got,only,lie,dark,getting,scar,scratch,light,surface,see,well,mask,doctor,won,underneath,secrets,cuz,darkness,need,know,whoa,can,way,time,under,live,call,eyes
3589,shipwrecks,silhouette,oceans,broken,regrets,soarundone,sink,left,claiming,my,outand,shouting,bittersweet,defeat,done,that,crown,of,stronger,wings,still,all,knees,darkundone,defeatso,yet,leave,loud,breath,darkin,holding,praised,timedon,not,is,go,heart,through,ruins,out,fight,will,storms,replaced,medon,believe,the,worn,new,hopes
3592,know,false,fake,true,real,you,and,players,playero,playgrounds,playersee,playerno,playful,playfulness,playground,playeri,playerplaya,playhell,00,playif,player,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playhonest,playin,played,playboywhoa,plateadas,plateau,plated,platedand,platei,plates,platetime,platform,platforms,platinum,platinumi,platinumtriple,platoon,platted,platter
3593,left,you,color,built,everywhere,yoursno,nightneed,losing,head,wildflower,above,it,triangle,every,sideyou,companion,city,your,sky,of,what,better,something,nothing,mind,prayer,look,re,turns,driving,shadows,way,want,make,not,in,the,light,know,stay,home,all,by,night,baby,no,we,on,my,pleaser
